company_code	fiscal_year	total_assets	capital	total_equity	revenue	operating_income	net_income
C0000543	2021-12-31	1163684 	150000 	444486 	2363334 	14136 	30122 
C0000543	2020-12-31	1062066 	150000 	414364 	2221143 	26692 	28428 
C0000544	2024-12-31	10221400 	150000 	3259096 	10997473 	1027748 	757016 
C0000544	2023-12-31	9642320 	150000 	2652080 	10962298 	893188 	593472 
C0000544	2022-12-31	10360180 	150000 	2208460 	9847962 	211099 	42563 
C0000544	2021-12-31	10475650 	150000 	2171639 	8032017 	27961 	11682 
C0000544	2020-12-31	8526079 	150000 	2159957 	6812392 	158629 	7448 
C0000283	2024-12-31	1741261 	50000 	197830 	8815967 	158530 	109233 
C0000283	2023-12-31	511096 	20000 	58597 	4968736 	57762 	33358 
C0000283	2022-12-31	502035 	20000 	25239 	3140237 	14305 	5239 
C0000549	2023-12-31	377196 	100000 	127739 	3007957 	28941 	27739 
C0000316	2024-12-31	245494619 	11463975 	141872576 	201608447 	6719974 	3462399 
C0000316	2023-12-31	202765182 	11463974 	133932898 	143690502 	8990259 	7806836 
C0000316	2022-12-31	210044929 	11463975 	126126061 	135932684 	8531944 	4170530 
C0000316	2021-12-31	143535776 	9219875 	71981998 	115923312 	2871416 	1896682 
C0000316	2020-12-31	154276476 	9219875 	70085316 	140597386 	3667128 	-1197635 
C0000550	2024-12-31	3223456 	100000 	1728416 	21196420 	140447 	112662 
C0000550	2023-12-31	2520698 	100000 	1635754 	30713764 	247056 	97717 
C0000550	2022-12-31	2434081 	100000 	1558037 	19547364 	448823 	453837 
C0000550	2021-12-31	1369818 	100000 	1124199 	11814138 	180466 	147574 
C0000550	2020-12-31	2171827 	100000 	976625 	15953940 	243608 	185364 
C0000551	2021-12-31	2210203 	673180 	997258 	6064695 	208509 	209001 
C0000551	2020-12-31	2029649 	673180 	788258 	5268019 	131309 	133019 
C0000551	2019-12-31	2230295 	673180 	655239 	5013759 	50509 	58153 
C0000552	2024-12-31	3465204 	150000 	623424 	5534702 	253287 	173287 
C0000552	2023-12-31	1044744 	50000 	350137 	4202203 	100074 	86110 
C0000552	2022-12-31	814256 	50000 	264027 	2793747 	38725 	29721 
C0000552	2021-12-31	744676 	50000 	234305 	2880774 	72196 	56391 
C0000552	2020-12-31	590564 	50000 	177914 	2841661 	45900 	38718 
C0000319	2024-12-31	1898962 	100000 	429507 	3000813 	271815 	31759 
C0000319	2023-12-31	1864229 	100000 	397748 	7183243 	123490 	62949 
C0000319	2022-12-31	1498297 	100000 	334799 	9667712 	154838 	86776 
C0000319	2021-12-31	1719484 	100000 	248023 	9407441 	126551 	85148 
C0000319	2020-12-31	565758 	100000 	162876 	5870484 	58746 	46794 
C0000553	2024-12-31	5083177 	200000 	1870744 	48613751 	366124 	153107 
C0000553	2023-12-31	5019160 	200000 	1736637 	41476721 	303403 	117994 
C0000553	2022-12-31	4763717 	200000 	1637643 	43884559 	322611 	99565 
C0000553	2021-12-31	4205955 	200000 	1538078 	34179055 	462272 	343428 
C0000553	2020-12-31	3101381 	200000 	1213650 	28991975 	313613 	228746 
C0000554	2024-12-31	1956055 	100000 	762203 	15934606 	216236 	127481 
C0000554	2023-12-31	1710198 	100000 	634721 	19158400 	180290 	120951 
C0000554	2022-12-31	1246490 	100000 	513770 	20193302 	152925 	110836 
C0000554	2021-12-31	1116390 	100000 	402934 	17474783 	136515 	103977 
C0000554	2020-12-31	734009 	100000 	298957 	14720120 	100592 	74873 
C0000320	2024-06-30	2015721 	50000 	405631 	23004958 	147752 	97358 
C0000320	2023-06-30	1220164 	50000 	308273 	20764874 	134340 	101046 
C0000320	2022-06-30	1305711 	50000 	207226 	18838610 	68483 	53231 
C0000320	2021-06-30	1407859 	50000 	153996 	9232199 	80023 	65347 
C0000320	2020-06-30	965494 	50000 	84067 	8858705 	-61702 	-79873 
C0000556	2024-12-31	3234980 	100000 	857879 	33103041 	122449 	54614 
C0000556	2023-12-31	2775896 	100000 	808559 	36034928 	164745 	47510 
C0000556	2022-12-31	2667484 	100000 	915320 	49961071 	322501 	249043 
C0000556	2021-12-31	2329322 	100000 	698015 	39717726 	287108 	201264 
C0000556	2019-12-31	942393 	100000 	362884 	18359941 	115217 	92885 
C0000322	2024-12-31	9055671 	435000 	1875851 	8699915 	513984 	263952 
C0000322	2023-12-31	8851883 	435000 	1520914 	7393224 	433935 	184722 
C0000322	2022-12-31	9028688 	435000 	1336192 	7096288 	137073 	16692 
C0000322	2021-12-31	5892656 	435000 	1319499 	7337402 	319172 	36387 
C0000322	2020-12-31	5982062 	435000 	1283113 	8123440 	535534 	414470 
C0000557	2024-12-31	49881192 	452975 	16834376 	110262920 	3165039 	1563611 
C0000557	2023-12-31	43402763 	452975 	15186214 	66913697 	2692340 	3536484 
C0000557	2022-12-31	29376237 	44135896 	10754486 	55217025 	1188182 	-844054 
C0000557	2021-12-31	23594101 	42020877 	9037315 	31742258 	-480555 	-4337610 
C0000557	2020-12-31	19969328 	39147199 	10132801 	18997566 	-2256856 	-4670400 
C0000558	2024-12-31	3966532 	100000 	1078890 	43706361 	275589 	23299 
C0000558	2023-12-31	4130870 	100000 	1095591 	30217756 	398386 	239549 
C0000558	2022-12-31	3894267 	100000 	896042 	30624080 	618187 	472031 
C0000558	2021-12-31	2565714 	100000 	574012 	19875606 	331406 	268602 
C0000558	2020-12-31	1243455 	100000 	345409 	16220715 	259095 	182246 
C0000324	2024-12-31	358667529 	10000000 	52133399 	1965592429 	15849974 	8828060 
C0000324	2023-12-31	379144879 	10000000 	45706601 	1902959586 	17757817 	10304756 
C0000324	2022-12-31	330091487 	10000000 	38369314 	1804072625 	13221019 	7903333 
C0000324	2021-12-31	287911643 	5000000 	24678623 	1683417752 	2731860 	851748 
C0000324	2020-12-31	263096006 	5000000 	24843460 	1412370321 	6367321 	-1449079 
